,track_id,track_name,artists,album_name,track_genre,popularity
0,6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),psych-rock,82
1,6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,Bleed American,punk-rock,81
2,7B3z0ySL9Rr0XvZEAjWZzM,Sofia,Clairo,Immunity,indie-pop,81
3,4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,The Offspring,Americana,punk-rock,81
4,2IVsRhKrx8hlQBOWy4qebo,Mr Loverman,Ricky Montgomery,Montgomery Ricky,indie-pop,79
5,4qbEaaJ29p32GI8EWQmm6R,dumb dumb,mazie,the rainbow cassette,indie-pop,79
6,7DcJ6fEBb7BaKuYKTwiDxK,Homage,Mild High Club,Skiptracing,psych-rock,78
7,1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),punk-rock,78
8,5ln5yQdUywVbf8HhFsOcd6,Walls Could Talk,Halsey,hopeless fountain kingdom (Deluxe),indie-pop,77
9,6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,Wish You Were Here,psych-rock,77
10,1fJFuvU2ldmeAm5nFIHcPP,First Date,blink-182,Take Off Your Pants And Jacket,punk-rock,77
11,3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,The Beatles,Help! (Remastered),psych-rock,76
12,6UFivO2zqqPFPoQYsEMuCc,Bags,Clairo,Immunity,indie-pop,75
13,3Pzh926pXggbMe2ZpXyMV7,Ain't No Rest for the Wicked,Cage The Elephant,Cage The Elephant (Expanded Edition),punk-rock,74
14,5jgFfDIR6FR0gvlA56Nakr,Blackbird - Remastered 2009,The Beatles,The Beatles (Remastered),psych-rock,74
15,2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,Hot Chelle Rae,Whatever,punk-rock,73
16,7CFfqRW50ffULvBv7lfIIg,Violent,carolesdaughter,Violent,indie-pop,72
17,3JiaA3hvuKu4Fjf6AWwVMX,Difficult,Gracie Abrams,Difficult,indie-pop,72
18,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,Mad at Disney,indie-pop,72
19,27hhIs2fp6w06N5zx4Eaa5,Dream A Little Dream Of Me,The Mamas & The Papas,The Papas & The Mamas,psych-rock,72
20,5oQcOu1omDykbIPSdSQQNJ,1985,Bowling For Soup,A Hangover You Don't Deserve,punk-rock,71
21,0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,Who's Next (Deluxe Edition),psych-rock,71
22,2ctvdKmETyOzPb2GiJJT53,Breathe (In the Air),Pink Floyd,The Dark Side of the Moon,psych-rock,71
23,2CJc3U1pViZ5E44pA0f2YI,Common (with Big Sean),Quinn XCII;Big Sean,Common,indie-pop,70
24,5gb9UJkh8TfrNMRYOJNbew,Gives You Hell,The All-American Rejects,When The World Comes Down,punk-rock,70
25,7uEcCGtM1FBBGIhPozhJjv,Daydream Believer,The Monkees,"The Birds, The Bees, & The Monkees",psych-rock,70
26,73W5aXorr5vxrySFcoZqIN,Renegade (feat. Taylor Swift),Big Red Machine;Taylor Swift,How Long Do You Think It's Gonna Last?,indie-pop,69
27,1UKobFsdqNXQb8OthimCKe,Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash","Crosby, Stills & Nash",psych-rock,68
28,2hitsKa8SthKhRJBXUHbIv,Our House,"Crosby, Stills, Nash & Young",Deja Vu,psych-rock,68
29,6iGU74CwXuT4XVepjc9Emf,God Only Knows - Mono / 1997 Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),psych-rock,68
30,6L5BZEcZmD6RBJnimzlyKr,Nights In White Satin - Single Version / Mono,The Moody Blues,Days Of Future Passed (Deluxe Version),psych-rock,68
31,6pnwfWyaWjQiHCKTiZLItr,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,Wish You Were Here,psych-rock,67
32,4TOMI010Sd4ZAX4aZ5TS85,Perfect Day,Lou Reed,Transformer,psych-rock,67
33,6yLIqXX9edg1x0HZS7cZEv,The Air That I Breathe - 2008 Remaster,The Hollies,Hollies,psych-rock,66
34,11VwZwNF29HrqwalYUMitb,Pale Blue Eyes,The Velvet Underground,The Velvet Underground (45th Anniversary),psych-rock,65
35,11607FzqoipskTsXrwEHnJ,Sunday Morning,The Velvet Underground;Nico,The Velvet Underground & Nico 45th Anniversary,psych-rock,65
36,3mlMpmY8oZIBFc39D9zLbh,The Long And Winding Road - Remastered 2009,The Beatles,Let It Be (Remastered),psych-rock,64
37,0WNGPpmWqzPnk0psUhJ3SX,All the Young Dudes,Mott The Hoople,All The Young Dudes (Expanded Edition),psych-rock,64
38,2O3l4X1yTua8oMMCtazkyo,The Happiest Days of Our Lives,Pink Floyd,The Wall,psych-rock,59
39,0vMr3GXZJi1IIIWE8bBJuZ,Plants,Crumb,Locket,psych-rock,59
40,0B6oBwvkyLptGexpwJVz7c,Balloon,Crumb,Ice Melt,psych-rock,59
41,60ifqqPhbselSwXyGrGyMK,Soldier Of Fortune - 2009 Digital Remaster,Deep Purple,Stormbringer (Remastered),psych-rock,59
42,21j1PsCiTaO8ZW88UZrh3A,Shine On You Crazy Diamond (Pts. 6-9),Pink Floyd,Wish You Were Here,psych-rock,58
43,54qG9hpUjLgkgTJQ9qvB1P,Dear Angie - Remastered 2010,Badfinger,Magic Christian Music (Remastered 2010 / Deluxe Edition),psych-rock,58
44,5a4MgIUSf9K8wXLSm6xPEx,High Hopes,Pink Floyd,The Division Bell,psych-rock,57
